codigo;Data;Visita OTIF;OT;IF;OTIF
0296708;01/03/2024;0001-0013468-01/03/2024-531030;Sim;Sim;Sim
0296708;01/03/2024;0001-0013498-01/03/2024-531035;Sim;Sim;Sim
0296708;01/03/2024;0001-0013590-01/03/2024-531032;Sim;Sim;Sim
0296708;01/03/2024;0001-0013620-01/03/2024-531017;Sim;Sim;Sim
0296708;01/03/2024;0001-0013718-01/03/2024-531019;Sim;Sim;Sim
0296708;01/03/2024;0001-0013761-01/03/2024-531027;Sim;Sim;Sim
0296708;01/03/2024;0001-0013962-01/03/2024-531058;Sim;Sim;Sim
0296708;01/03/2024;0001-0013971-01/03/2024-531019;Sim;Sim;Sim
0296708;01/03/2024;0001-0013975-01/03/2024-531053;Sim;Sim;Sim
0296708;01/03/2024;0001-0014081-01/03/2024-531020;Sim;Sim;Sim
0296708;01/03/2024;0001-0014120-01/03/2024-531032;Sim;Sim;Sim
0296708;01/03/2024;0001-0014177-01/03/2024-531060;Sim;Sim;Sim
0296708;01/03/2024;0001-0014192-01/03/2024-531054;Sim;Sim;Sim
0296708;01/03/2024;0001-0014220-01/03/2024-531050;Sim;Sim;Sim
0296708;01/03/2024;0001-0014262-01/03/2024-531022;Sim;Sim;Sim
0296708;01/03/2024;0001-0014264-01/03/2024-531065;Sim;Sim;Sim
0296708;01/03/2024;0001-0014295-01/03/2024-531017;Sim;Sim;Sim
0296708;01/03/2024;0001-0014308-01/03/2024-531058;Sim;Sim;Sim
0296708;01/03/2024;0001-0014314-01/03/2024-531055;Sim;Sim;Sim
0296708;01/03/2024;0001-0014391-01/03/2024-531042;Sim;Sim;Sim
0296708;01/03/2024;0001-0014404-01/03/2024-531015;Sim;Sim;Sim
0296708;01/03/2024;0001-0014439-01/03/2024-531020;Sim;Sim;Sim
0296708;01/03/2024;0001-0014457-01/03/2024-531061;Sim;Sim;Sim
0296708;01/03/2024;0001-0014467-01/03/2024-531017;Sim;Sim;Sim
0296708;01/03/2024;0001-0014474-01/03/2024-531031;Sim;Sim;Sim
0296708;01/03/2024;0001-0014507-01/03/2024-531017;Sim;Sim;Sim
0296708;01/03/2024;0001-0014514-01/03/2024-531017;Sim;Sim;Sim
0296708;01/03/2024;0001-0014576-01/03/2024-531068;Não;Sim;Não
0296708;01/03/2024;0001-0014583-01/03/2024-531060;Sim;Sim;Sim
0296708;01/03/2024;0001-0015030-01/03/2024-531048;Sim;Sim;Sim
0296708;01/03/2024;0001-0015039-01/03/2024-531048;Sim;Sim;Sim
0296708;01/03/2024;0001-0015062-01/03/2024-531068;Não;Sim;Não
0296708;01/03/2024;0001-0015162-01/03/2024-531017;Sim;Sim;Sim
0296708;01/03/2024;0001-0015209-01/03/2024-531058;Sim;Sim;Sim
0296708;01/03/2024;0001-0015226-01/03/2024-531066;Sim;Sim;Sim
0296708;01/03/2024;0001-0015233-01/03/2024-531037;Sim;Sim;Sim
0296708;01/03/2024;0001-0015245-01/03/2024-531012;Sim;Sim;Sim
0296708;01/03/2024;0001-0015284-01/03/2024-531016;Sim;Sim;Sim
0296708;01/03/2024;0001-0015411-01/03/2024-531021;Sim;Sim;Sim
0296708;01/03/2024;0001-0015414-01/03/2024-531020;Sim;Sim;Sim
0296708;01/03/2024;0001-0015472-01/03/2024-531052;Sim;Sim;Sim
0296708;01/03/2024;0001-0015520-01/03/2024-531031;Sim;Sim;Sim
0296708;01/03/2024;0001-0015564-01/03/2024-531051;Sim;Sim;Sim
0296708;01/03/2024;0001-0015611-01/03/2024-531016;Sim;Sim;Sim
0296708;01/03/2024;0001-0015670-01/03/2024-531020;Sim;Sim;Sim
0296708;01/03/2024;0001-0015821-01/03/2024-531022;Sim;Sim;Sim
0296708;01/03/2024;0001-0015848-01/03/2024-531053;Sim;Sim;Sim
0296708;01/03/2024;0001-0015865-01/03/2024-531048;Sim;Sim;Sim
0296708;01/03/2024;0001-0015869-01/03/2024-531029;Sim;Sim;Sim
0296708;01/03/2024;0001-0015875-01/03/2024-531018;Sim;Sim;Sim
0296708;01/03/2024;0001-0015919-01/03/2024-531046;Sim;Sim;Sim
0296708;01/03/2024;0001-0015921-01/03/2024-531047;Sim;Não;Não
0296708;01/03/2024;0001-0015938-01/03/2024-531014;Sim;Sim;Sim
0296708;01/03/2024;0001-0015991-01/03/2024-531048;Sim;Sim;Sim
0296708;01/03/2024;0001-0016031-01/03/2024-531019;Sim;Sim;Sim
0296708;01/03/2024;0001-0016071-01/03/2024-531043;Sim;Sim;Sim
0296708;01/03/2024;0001-0016092-01/03/2024-531049;Sim;Sim;Sim
0296708;01/03/2024;0001-0016108-01/03/2024-531045;Sim;Sim;Sim
0296708;01/03/2024;0001-0016143-01/03/2024-531044;Sim;Não;Não
0296708;01/03/2024;0001-0016152-01/03/2024-531048;Sim;Sim;Sim
0296708;01/03/2024;0001-0016184-01/03/2024-531053;Sim;Não;Não
0296708;01/03/2024;0001-0016232-01/03/2024-531031;Sim;Não;Não
0296708;01/03/2024;0001-0016258-01/03/2024-531037;Sim;Não;Não
0296708;01/03/2024;0001-0016264-01/03/2024-531023;Sim;Sim;Sim
0296708;01/03/2024;0001-0016333-01/03/2024-531033;Sim;Não;Não
0296708;01/03/2024;0001-0016359-01/03/2024-531057;Sim;Sim;Sim
0296708;01/03/2024;0001-0016391-01/03/2024-531036;Sim;Não;Não
0296708;01/03/2024;0001-0016580-01/03/2024-531058;Sim;Sim;Sim
0296708;01/03/2024;0001-0016664-01/03/2024-531055;Sim;Sim;Sim
0296708;01/03/2024;0001-0016791-01/03/2024-531029;Sim;Não;Não
0296708;01/03/2024;0001-0016802-01/03/2024-531027;Sim;Sim;Sim
0296708;01/03/2024;0001-0016818-01/03/2024-531056;Sim;Não;Não
0296708;01/03/2024;0001-0016919-01/03/2024-531059;Sim;Sim;Sim
0296708;01/03/2024;0001-0016958-01/03/2024-531023;Sim;Sim;Sim
0296708;01/03/2024;0001-0017118-01/03/2024-531045;Sim;Sim;Sim
0296708;01/03/2024;0001-0017228-01/03/2024-531033;Sim;Sim;Sim
0296708;01/03/2024;0001-0017268-01/03/2024-531054;Sim;Sim;Sim
0296708;01/03/2024;0001-0017317-01/03/2024-531042;Sim;Sim;Sim
0296708;01/03/2024;0001-0017324-01/03/2024-531023;Sim;Sim;Sim
0296708;01/03/2024;0001-0017336-01/03/2024-531016;Sim;Sim;Sim
0296708;01/03/2024;0001-0017478-01/03/2024-531020;Sim;Sim;Sim
0296708;01/03/2024;0001-0017480-01/03/2024-531018;Sim;Sim;Sim
0296708;01/03/2024;0001-0017495-01/03/2024-531046;Sim;Não;Não
0296708;01/03/2024;0001-0017510-01/03/2024-531059;Sim;Sim;Sim
0296708;01/03/2024;0001-0017522-01/03/2024-531014;Sim;Sim;Sim
0296708;01/03/2024;0001-0017651-01/03/2024-531038;Sim;Sim;Sim
0296708;01/03/2024;0001-0017712-01/03/2024-531046;Sim;Sim;Sim
0296708;01/03/2024;0001-0017725-01/03/2024-531045;Sim;Sim;Sim
0296708;01/03/2024;0001-0017729-01/03/2024-531024;Sim;Sim;Sim
0296708;01/03/2024;0001-0017775-01/03/2024-531032;Sim;Sim;Sim
0296708;01/03/2024;0001-0017895-01/03/2024-531056;Sim;Não;Não
0296708;01/03/2024;0001-0017914-01/03/2024-531013;Sim;Sim;Sim
0296708;01/03/2024;0001-0017922-01/03/2024-531044;Sim;Sim;Sim
0296708;01/03/2024;0001-0017941-01/03/2024-531024;Sim;Sim;Sim
0296708;01/03/2024;0001-0017992-01/03/2024-531049;Sim;Sim;Sim
0296708;01/03/2024;0001-0018060-01/03/2024-531058;Sim;Sim;Sim
0296708;01/03/2024;0001-0018061-01/03/2024-531047;Sim;Sim;Sim
0296708;01/03/2024;0001-0018080-01/03/2024-531042;Sim;Sim;Sim
0296708;01/03/2024;0001-0018163-01/03/2024-531051;Sim;Sim;Sim
